session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260806_135405,2,bayesian,1,2,1,1,1,0.387,0.387,2
20260806_135405,2,bayesian,1,2,1,1,1,0.387,0.387,4
20260806_135405,2,bayesian,1,2,1,1,0,1.448,1.448,8
20260806_135405,2,bayesian,1,2,1,1,0,0,0,8
20260806_135405,2,bayesian,1,2,1,0,0,0,0,1
20260806_135405,2,bayesian,1,2,1,0,0,0,0,10
20260806_135405,2,bayesian,1,3,1,1,1,0.382,0.382,2
20260806_135405,2,bayesian,1,3,1,1,1,0.382,0.382,4
20260806_135405,2,bayesian,1,3,1,1,0,1.44,1.44,8
20260806_135405,2,bayesian,1,3,1,1,0,0,0,8
20260806_135405,2,bayesian,1,3,1,0,0,0,0,1
20260806_135405,2,bayesian,1,3,1,0,0,0,0,10
20260806_135405,2,bayesian,1,6,2,1,1,0.769,0.769,2
20260806_135405,2,bayesian,1,6,2,1,1,0.769,0.769,4
20260806_135405,2,bayesian,1,6,2,1,0,1.425,1.425,8
20260806_135405,2,bayesian,1,6,2,1,0,1.835,1.835,10
20260806_135405,2,bayesian,1,6,2,0,0,0,0,1
20260806_135405,2,bayesian,1,7,2,1,1,0.776,0.776,2
20260806_135405,2,bayesian,1,7,2,1,1,0.776,0.776,4
20260806_135405,2,bayesian,1,7,2,1,0,1.843,1.843,10
20260806_135405,2,bayesian,1,7,2,0,0,0,0,1
20260806_135405,2,bayesian,1,8,2,1,1,0.776,0.776,2
20260806_135405,2,bayesian,1,8,2,1,1,0.776,0.776,4
20260806_135405,2,bayesian,1,8,2,1,0,1.843,1.843,10
20260806_135405,2,bayesian,1,8,2,0,0,0,0,1
20260806_135405,3,bayesian,1,2,1,1,1,0.352,0.352,5
20260806_135405,3,bayesian,1,2,1,1,1,0.352,0.352,1
20260806_135405,3,bayesian,1,2,1,1,0,3.108,3.108,10
20260806_135405,3,bayesian,1,2,1,1,0,0,0,-1
20260806_135405,3,bayesian,1,2,1,0,0,0,0,4
20260806_135405,3,bayesian,1,2,1,0,0,0,0,3
20260806_135405,3,bayesian,1,3,1,1,1,0.348,0.348,5
20260806_135405,3,bayesian,1,3,1,1,1,0.348,0.348,1
20260806_135405,3,bayesian,1,3,1,1,0,3.051,3.051,10
20260806_135405,3,bayesian,1,3,1,1,0,0,0,-1
20260806_135405,3,bayesian,1,3,1,0,0,0,0,4
20260806_135405,3,bayesian,1,3,1,0,0,0,0,3
20260806_135405,3,bayesian,1,4,1,1,1,0.348,0.348,5
20260806_135405,3,bayesian,1,4,1,1,1,0.348,0.348,1
20260806_135405,3,bayesian,1,4,1,1,0,3.051,3.051,10
20260806_135405,3,bayesian,1,4,1,1,0,0,0,-1
20260806_135405,3,bayesian,1,4,1,0,0,0,0,4
20260806_135405,3,bayesian,1,4,1,0,0,0,0,3
20260806_135405,3,bayesian,1,5,1,1,1,0.355,0.355,1
20260806_135405,3,bayesian,1,5,1,1,0,3.11,3.11,10
20260806_135405,3,bayesian,1,5,1,1,0,0,0,-1
20260806_135405,3,bayesian,1,5,1,0,0,0,0,4
20260806_135405,3,bayesian,1,5,1,0,0,0,0,3
20260806_135405,3,bayesian,1,9,2,1,0,2.46,2.46,9
20260806_135405,3,bayesian,1,9,2,1,1,0.717,0.717,1
20260806_135405,3,bayesian,1,9,2,1,0,3.11,3.11,10
20260806_135405,3,bayesian,1,9,2,1,0,0,0,-1
20260806_135405,3,bayesian,1,9,2,0,0,0,0,4
20260806_135405,3,bayesian,1,9,2,0,0,0,0,3
20260806_135405,4,bayesian,1,2,1,1,1,0.368,0.368,3
20260806_135405,4,bayesian,1,2,1,1,1,0.368,0.368,5
20260806_135405,4,bayesian,1,2,1,1,0,2.331,2.331,6
20260806_135405,4,bayesian,1,2,1,1,0,0,0,10
20260806_135405,4,bayesian,1,2,1,0,0,0,0,9
20260806_135405,4,bayesian,1,2,1,0,0,0,0,4
20260806_135405,4,bayesian,1,3,1,1,1,0.376,0.376,3
20260806_135405,4,bayesian,1,3,1,1,1,0.376,0.376,5
20260806_135405,4,bayesian,1,3,1,1,0,0,0,10
20260806_135405,4,bayesian,1,3,1,0,0,0,0,9
20260806_135405,4,bayesian,1,3,1,0,0,0,0,4
20260806_135405,4,bayesian,1,4,1,1,1,0.373,0.373,3
20260806_135405,4,bayesian,1,4,1,1,1,0.373,0.373,5
20260806_135405,4,bayesian,1,4,1,1,0,0,0,10
20260806_135405,4,bayesian,1,4,1,0,0,0,0,9
20260806_135405,4,bayesian,1,4,1,0,0,0,0,4
20260806_135405,4,bayesian,1,5,1,1,1,0.373,0.373,3
20260806_135405,4,bayesian,1,5,1,1,1,0.373,0.373,5
20260806_135405,4,bayesian,1,5,1,1,0,0,0,10
20260806_135405,4,bayesian,1,5,1,0,0,0,0,9
20260806_135405,4,bayesian,1,5,1,0,0,0,0,4
20260806_135405,4,bayesian,1,6,1,1,1,0.373,0.373,3
20260806_135405,4,bayesian,1,6,1,1,1,0.373,0.373,5
20260806_135405,4,bayesian,1,6,1,1,0,0,0,10
20260806_135405,4,bayesian,1,6,1,0,0,0,0,9
20260806_135405,4,bayesian,1,6,1,0,0,0,0,4
20260806_135405,4,bayesian,1,9,2,1,0,0,0,9
20260806_135405,4,bayesian,1,9,2,1,1,0.745,0.745,5
20260806_135405,4,bayesian,1,9,2,1,0,0,0,10
20260806_135405,4,bayesian,1,9,2,0,1,0.745,0.745,3
20260806_135405,4,bayesian,1,9,2,0,0,0,0,4
20260806_135405,4,bayesian,1,10,2,1,0,0,0,9
20260806_135405,4,bayesian,1,10,2,1,1,0.752,0.752,5
20260806_135405,4,bayesian,1,10,2,1,0,0,0,10
20260806_135405,4,bayesian,1,10,2,0,1,0.752,0.752,3
20260806_135405,4,bayesian,1,10,2,0,0,0,0,4
20260806_135405,4,bayesian,1,14,3,1,0,0,0,9
20260806_135405,4,bayesian,1,14,3,1,1,1.16,1.16,5
20260806_135405,4,bayesian,1,14,3,1,0,0,0,10
20260806_135405,4,bayesian,1,14,3,1,0,0,0,6
20260806_135405,4,bayesian,1,14,3,0,0,0,0,4
20260806_135405,5,bayesian,1,1,1,1,1,0,3.034,9
20260806_135405,5,bayesian,1,1,1,1,1,0,3.034,2
20260806_135405,5,bayesian,1,1,1,1,0,0,3.034,5
20260806_135405,5,bayesian,1,1,1,1,0,0,3.034,4
20260806_135405,5,bayesian,1,1,1,0,0,0,0,10
20260806_135405,5,bayesian,1,1,1,0,0,0,0,10
20260806_135405,5,bayesian,1,2,1,1,1,0,3.032,9
20260806_135405,5,bayesian,1,2,1,1,1,0,3.032,2
20260806_135405,5,bayesian,1,2,1,1,0,0,3.032,5
20260806_135405,5,bayesian,1,2,1,1,0,0,3.032,4
20260806_135405,5,bayesian,1,2,1,0,0,0,0,10
20260806_135405,5,bayesian,1,2,1,0,0,0,0,10
20260806_135405,5,bayesian,1,3,1,1,1,0,3.032,9
20260806_135405,5,bayesian,1,3,1,1,1,0,3.032,2
20260806_135405,5,bayesian,1,3,1,1,0,0,3.032,5
20260806_135405,5,bayesian,1,3,1,1,0,0,3.032,4
20260806_135405,5,bayesian,1,3,1,0,0,0,0,10
20260806_135405,5,bayesian,1,3,1,0,0,0,0,10
20260806_135405,5,bayesian,1,4,1,1,1,0,3.032,9
20260806_135405,5,bayesian,1,4,1,1,1,0,3.032,2
20260806_135405,5,bayesian,1,4,1,1,0,0,3.032,5
20260806_135405,5,bayesian,1,4,1,1,0,0,3.032,4
20260806_135405,5,bayesian,1,4,1,0,0,0,0,10
20260806_135405,5,bayesian,1,4,1,0,0,0,0,10
