session_id,match_index,agent_label,bayesian_on,ply,ai_turn,is_opponent_slot,opp_knows,tilt_raw,tilt_eff,true_value
20260808_205654,1,bayesian,1,2,1,1,1,0.386,0.386,6
20260808_205654,1,bayesian,1,2,1,1,1,0.386,0.386,8
20260808_205654,1,bayesian,1,2,1,1,0,0,0,10
20260808_205654,1,bayesian,1,2,1,1,0,1.901,1.901,1
20260808_205654,1,bayesian,1,2,1,0,0,0,0,0
20260808_205654,1,bayesian,1,2,1,0,0,0,0,2
20260808_205654,1,bayesian,1,3,1,1,1,0.391,0.391,6
20260808_205654,1,bayesian,1,3,1,1,0,0,0,10
20260808_205654,1,bayesian,1,3,1,1,0,1.913,1.913,1
20260808_205654,1,bayesian,1,3,1,0,0,0,0,0
20260808_205654,1,bayesian,1,3,1,0,0,0,0,2
20260808_205654,1,bayesian,1,4,1,1,1,0.391,0.391,6
20260808_205654,1,bayesian,1,4,1,1,0,0,0,10
20260808_205654,1,bayesian,1,4,1,1,0,1.913,1.913,1
20260808_205654,1,bayesian,1,4,1,0,0,0,0,0
20260808_205654,1,bayesian,1,4,1,0,0,0,0,2
20260808_205654,1,bayesian,1,5,1,1,1,0.368,0.368,6
20260808_205654,1,bayesian,1,5,1,1,0,0,0,10
20260808_205654,1,bayesian,1,5,1,1,0,1.845,1.845,1
20260808_205654,1,bayesian,1,5,1,0,0,0,0,0
20260808_205654,1,bayesian,1,5,1,0,0,0,0,2
20260808_205654,1,bayesian,1,11,2,1,1,0.736,0.736,6
20260808_205654,1,bayesian,1,11,2,1,0,1.821,1.821,1
20260808_205654,1,bayesian,1,11,2,0,0,0,0,0
20260808_205654,1,bayesian,1,11,2,0,0,0,0,10
20260808_205654,1,bayesian,1,12,2,1,1,0.737,0.737,6
20260808_205654,1,bayesian,1,12,2,1,0,1.812,1.812,1
20260808_205654,1,bayesian,1,12,2,0,0,0,0,0
20260808_205654,1,bayesian,1,12,2,0,0,0,0,10
20260808_205654,1,bayesian,1,17,3,1,1,1.081,1.081,6
